motor_id,pair_id,row,col,layer,layer_code,plane_code,plane_name,esc_type,motor_index,host_index,controller,controller_index,channel,channel_index,pico_pwm_pin,signed_alias,location
B22,P22,3,6,Back,B,BP,Back Plane,T-MOTOR AIR 40,85,85,C14,13,CH2,1,GP1,-22,R3C6B
B23,P23,3,7,Back,B,BP,Back Plane,T-MOTOR AIR 40,86,86,C14,13,CH4,3,GP3,-23,R3C7B
B24,P24,3,8,Back,B,BP,Back Plane,T-MOTOR AIR 40,87,87,C06,5,CH4,3,GP3,-24,R3C8B
B25,P25,4,1,Back,B,BP,Back Plane,T-MOTOR AIR 40,88,88,C02,1,CH6,5,GP5,-25,R4C1B
B26,P26,4,2,Back,B,BP,Back Plane,T-MOTOR AIR 40,89,89,C10,9,CH6,5,GP5,-26,R4C2B
B27,P27,4,3,Back,B,BP,Back Plane,T-MOTOR AIR 40,90,90,C10,9,CH8,7,GP7,-27,R4C3B
B28,P28,4,4,Back,B,BP,Back Plane,T-MOTOR AIR 40,91,91,C02,1,CH8,7,GP7,-28,R4C4B
B29,P29,4,5,Back,B,BP,Back Plane,T-MOTOR AIR 40,92,92,C06,5,CH6,5,GP5,-29,R4C5B
B30,P30,4,6,Back,B,BP,Back Plane,T-MOTOR AIR 40,93,93,C14,13,CH6,5,GP5,-30,R4C6B
B31,P31,4,7,Back,B,BP,Back Plane,T-MOTOR AIR 40,94,94,C14,13,CH8,7,GP7,-31,R4C7B
B32,P32,4,8,Back,B,BP,Back Plane,T-MOTOR AIR 40,95,95,C06,5,CH8,7,GP7,-32,R4C8B
B33,P33,5,1,Back,B,BP,Back Plane,T-MOTOR AIR 40,96,96,C03,2,CH2,1,GP1,-33,R5C1B
B34,P34,5,2,Back,B,BP,Back Plane,T-MOTOR AIR 40,97,97,C11,10,CH2,1,GP1,-34,R5C2B
B35,P35,5,3,Back,B,BP,Back Plane,T-MOTOR AIR 40,98,98,C11,10,CH4,3,GP3,-35,R5C3B
B36,P36,5,4,Back,B,BP,Back Plane,T-MOTOR AIR 40,99,99,C03,2,CH4,3,GP3,-36,R5C4B
B37,P37,5,5,Back,B,BP,Back Plane,T-MOTOR AIR 40,100,100,C07,6,CH2,1,GP1,-37,R5C5B
B38,P38,5,6,Back,B,BP,Back Plane,T-MOTOR AIR 40,101,101,C15,14,CH2,1,GP1,-38,R5C6B
B39,P39,5,7,Back,B,BP,Back Plane,T-MOTOR AIR 40,102,102,C15,14,CH4,3,GP3,-39,R5C7B
B40,P40,5,8,Back,B,BP,Back Plane,T-MOTOR AIR 40,103,103,C07,6,CH4,3,GP3,-40,R5C8B
B41,P41,6,1,Back,B,BP,Back Plane,T-MOTOR AIR 40,104,104,C03,2,CH6,5,GP5,-41,R6C1B
B42,P42,6,2,Back,B,BP,Back Plane,T-MOTOR AIR 40,105,105,C11,10,CH6,5,GP5,-42,R6C2B
B43,P43,6,3,Back,B,BP,Back Plane,T-MOTOR AIR 40,106,106,C11,10,CH8,7,GP7,-43,R6C3B
B44,P44,6,4,Back,B,BP,Back Plane,T-MOTOR AIR 40,107,107,C03,2,CH8,7,GP7,-44,R6C4B
